Alignment ID,Ontology,metric,value,ci_lower,ci_upper,genotype
DG 40:6(M+Na)_11.84,DG,n_value,27.3,5.699999999999999,5.400000000000002,APOE3
DG 40:6(M+Na)_11.84,DG,n_value,19.35,1.75,7.649999999999999,APOE4
DG 40:6|DG 18:0_22:6(M+NH4)_12.08,DG,n_value,30.65,5.449999999999999,1.75,APOE2
DG 40:6|DG 18:0_22:6(M+NH4)_12.08,DG,n_value,25.2,1.3999999999999986,0.1000000000000014,APOE3
DG 40:6|DG 18:0_22:6(M+NH4)_12.08,DG,n_value,23.9,3.3999999999999986,5.900000000000002,APOE4
DG 40:7|DG 18:1_22:6(M+NH4)_10.54,DG,n_value,13.15,2.6500000000000004,2.6500000000000004,APOE2
DG 40:7|DG 18:1_22:6(M+NH4)_10.54,DG,n_value,11.3,0.0,0.0,APOE3
DG 40:7|DG 18:1_22:6(M+NH4)_10.54,DG,n_value,11.0,0.0,0.0,APOE4
DG 45:10(M+Na)_11.07,DG,n_value,22.2,0.0,0.0,APOE2
DG 45:10(M+Na)_11.07,DG,n_value,23.2,12.2,9.7,APOE3
DG 45:10(M+Na)_11.07,DG,n_value,23.15,2.25,2.25,APOE4
DG 47:11(M+Na)_11.62,DG,n_value,32.7,3.6000000000000014,1.8999999999999984,APOE2
DG 47:11(M+Na)_11.62,DG,n_value,31.5,2.3999999999999986,1.5,APOE3
DG 47:11(M+Na)_11.62,DG,n_value,30.6,0.0,1.0,APOE4
DG 51:9(M+Na)_13.68,DG,n_value,32.1,12.900000000000002,11.6,APOE2
DG 51:9(M+Na)_13.68,DG,n_value,32.0,1.5,1.5,APOE3
DG 51:9(M+Na)_13.68,DG,n_value,34.5,12.6,12.200000000000005,APOE4
DG O-37:1|DG O-19:1_18:0(M+NH4)_13.89,EtherDG,n_value,35.3,0.0,0.0,APOE2
DG O-37:1|DG O-19:1_18:0(M+NH4)_13.89,EtherDG,n_value,32.2,0.0,0.0,APOE4
DLCL 36:3(M-H)_7.48,DLCL,n_value,25.950000000000003,1.650000000000002,1.6499999999999986,APOE2
DLCL 36:3(M-H)_7.48,DLCL,n_value,25.3,4.800000000000001,6.199999999999999,APOE3
DLCL 36:3(M-H)_7.48,DLCL,n_value,27.7,2.599999999999998,5.400000000000002,APOE4
DLCL 42:11(M-H)_7.88,DLCL,n_value,25.7,0.5999999999999979,0.1999999999999993,APOE2
DLCL 42:11(M-H)_7.88,DLCL,n_value,26.0,4.5,6.5,APOE3
DLCL 42:11(M-H)_7.88,DLCL,n_value,21.95,3.25,3.25,APOE4
DLCL 44:12(M-H)_7.85,DLCL,n_value,15.9,4.6,8.1,APOE2
DLCL 44:12(M-H)_7.85,DLCL,n_value,15.85,0.6500000000000004,0.6500000000000004,APOE3
DLCL 44:12(M-H)_7.85,DLCL,n_value,32.65,2.849999999999998,2.8500000000000014,APOE4
DMPE 40:6(M-H)_9.37,DMPE,n_value,29.6,7.100000000000001,10.699999999999996,APOE2
DMPE 40:6(M-H)_9.37,DMPE,n_value,29.9,1.5,0.5,APOE3
DMPE 40:6(M-H)_9.37,DMPE,n_value,23.1,1.0,2.2,APOE4
DMPE 41:9(M-H)_8.41,DMPE,n_value,31.9,1.599999999999998,1.8000000000000045,APOE2
DMPE 41:9(M-H)_8.41,DMPE,n_value,26.0,2.3999999999999986,3.0,APOE3
DMPE 41:9(M-H)_8.41,DMPE,n_value,25.95,2.349999999999998,4.449999999999999,APOE4
DMPE 43:6(M-H)_11.77,DMPE,n_value,33.7,0.4000000000000057,0.3999999999999986,APOE2
DMPE 43:6(M-H)_11.77,DMPE,n_value,33.0,0.7999999999999972,0.3999999999999986,APOE3
DMPE 43:6(M-H)_11.77,DMPE,n_value,28.7,5.5,3.6999999999999993,APOE4
DMPE 43:9(M-H)_8.89,DMPE,n_value,26.6,5.100000000000001,5.099999999999998,APOE2
DMPE 43:9(M-H)_8.89,DMPE,n_value,25.450000000000003,1.150000000000002,1.7499999999999964,APOE3
DMPE 43:9(M-H)_8.89,DMPE,n_value,20.25,0.75,2.5500000000000007,APOE4
FA 18:1(M-H)_6.83,FA,n_value,17.3,0.0,0.0,APOE4
GM3 36:1;O2(M-H)_8.63,GM3,n_value,37.45,7.7500000000000036,7.75,APOE2
GM3 36:1;O2(M-H)_8.63,GM3,n_value,47.3,0.0,0.0,APOE3
GM3 36:1;O2(M-H)_8.63,GM3,n_value,21.7,0.0,0.0,APOE4
HexCer 36:1;O2|HexCer 18:1;O2/18:0(M+H)_9.76,HexCer_NS,n_value,66.4,5.700000000000003,5.699999999999989,APOE2
HexCer 38:1;O2(M+H)_10.58,HexCer_NDS,n_value,30.3,0.0,0.0,APOE2
HexCer 38:1;O2(M+H)_10.58,HexCer_NDS,n_value,36.4,1.1000000000000014,1.1000000000000014,APOE3
HexCer 38:1;O2(M+H)_10.58,HexCer_NDS,n_value,52.150000000000006,3.5500000000000043,3.549999999999997,APOE4
HexCer 38:1;O3|HexCer 18:1;O2/20:0;O(M+H)_10.54,HexCer_HS,n_value,57.0,0.0,0.0,APOE2
HexCer 38:1;O3|HexCer 18:1;O2/20:0;O(M+H)_10.54,HexCer_HS,n_value,69.8,0.0,0.0,APOE4
HexCer 40:1;O2(M+H)_12.15,HexCer_NDS,n_value,65.7,0.0,0.0,APOE2
HexCer 40:1;O3|HexCer 21:1;O2/19:0;O(M-H)_11.66,HexCer_HS,n_value,53.9,0.0,0.0,APOE2
HexCer 40:1;O3|HexCer 21:1;O2/19:0;O(M-H)_11.66,HexCer_HS,n_value,55.7,0.0,0.0,APOE4
HexCer 41:2;O2|HexCer 18:1;O2/23:1(M+H)_11.5,HexCer_NS,n_value,67.7,0.0,0.0,APOE2
HexCer 42:1;O2(M+H-[H2O])_12.89,HexCer_NDS,n_value,50.3,0.0,0.0,APOE2
HexCer 42:1;O2(M+H-[H2O])_12.89,HexCer_NDS,n_value,70.4,0.6000000000000085,0.5999999999999943,APOE3
HexCer 42:1;O2(M+H-[H2O])_12.89,HexCer_NDS,n_value,60.8,11.5,9.900000000000006,APOE4
HexCer 42:1;O2|HexCer 18:1;O2/24:0(M+H)_13.02,HexCer_NS,n_value,58.3,0.0,0.0,APOE2
HexCer 42:1;O3|HexCer 18:1;O2/24:0;O(M-H)_13.01,HexCer_HS,n_value,59.0,0.0,0.0,APOE2
HexCer 42:2;O2|HexCer 18:1;O2/24:1(M+H-[H2O])_12.23,HexCer_NS,n_value,49.5,0.0,0.0,APOE2
HexCer 43:1;O3(M+H)_13.11,HexCer_HS,n_value,62.8,0.0,0.0,APOE3
HexCer 43:1;O3|HexCer 18:1;O2/25:0;O(M+H-[H2O])_13.11,HexCer_HS,n_value,54.8,13.9,13.900000000000006,APOE2
HexCer 43:1;O3|HexCer 18:1;O2/25:0;O(M+H-[H2O])_13.11,HexCer_HS,n_value,45.0,0.6000000000000014,0.6000000000000014,APOE3
HexCer 43:1;O3|HexCer 18:1;O2/25:0;O(M+H-[H2O])_13.11,HexCer_HS,n_value,70.7,0.0,0.0,APOE4
HexCer 43:2;O3|HexCer 18:1;O2/25:1;O(M+H)_12.49,HexCer_HS,n_value,43.6,0.0,0.0,APOE2
HexCer 43:2;O3|HexCer 18:1;O2/25:1;O(M+H)_12.49,HexCer_HS,n_value,43.85,2.549999999999997,2.5500000000000043,APOE3
LPC 14:0(M+H)_5.45,LPC,n_value,21.6,0.2000000000000028,0.0999999999999978,APOE2
LPC 14:0(M+H)_5.45,LPC,n_value,21.7,1.3999999999999986,1.1000000000000014,APOE3
LPC 14:0(M+H)_5.45,LPC,n_value,17.299999999999997,1.4999999999999964,2.900000000000002,APOE4
LPC 14:0/0:0(M+H)_5.45,LPC,n_value,21.2,1.5,2.6000000000000014,APOE2
LPC 14:0/0:0(M+H)_5.45,LPC,n_value,20.3,5.800000000000001,3.099999999999998,APOE3
LPC 14:0/0:0(M+H)_5.45,LPC,n_value,18.6,6.500000000000002,3.5,APOE4
LPC 15:0/0:0(M+H)_5.78,LPC,n_value,19.85,4.350000000000001,4.349999999999998,APOE2
LPC 16:0(M+H)_6.13,LPC,n_value,22.0,5.5,2.6000000000000014,APOE2
LPC 16:0(M+H)_6.13,LPC,n_value,24.15,2.349999999999998,1.4500000000000028,APOE3
LPC 16:0(M+H)_6.13,LPC,n_value,21.5,1.3999999999999986,1.3999999999999986,APOE4
LPC 16:0/0:0(M+H)_6.13,LPC,n_value,18.4,0.2999999999999971,1.5,APOE2
LPC 16:0/0:0(M+H)_6.13,LPC,n_value,23.8,1.6999999999999993,0.3000000000000007,APOE3
LPC 16:0/0:0(M+H)_6.13,LPC,n_value,21.6,1.7000000000000028,3.299999999999997,APOE4
LPC 16:1(M+H)_5.62,LPC,n_value,21.3,2.6000000000000014,2.099999999999998,APOE2
LPC 16:1(M+H)_5.62,LPC,n_value,18.0,0.0,1.3000000000000007,APOE3
LPC 16:1(M+H)_5.62,LPC,n_value,19.1,2.8000000000000007,1.2999999999999972,APOE4
LPC 17:0/0:0(M+H)_6.46,LPC,n_value,21.75,4.550000000000001,1.8500000000000008,APOE2
LPC 17:0/0:0(M+H)_6.46,LPC,n_value,17.3,0.0,0.0,APOE3
LPC 17:0/0:0(M+H)_6.46,LPC,n_value,17.9,1.3999999999999986,0.0,APOE4
LPC 17:3(M+H)_5.28,LPC,n_value,23.1,1.900000000000002,2.299999999999997,APOE2
LPC 17:3(M+H)_5.28,LPC,n_value,22.05,1.8499999999999976,3.150000000000002,APOE3
LPC 17:3(M+H)_5.28,LPC,n_value,20.4,1.7999999999999972,2.900000000000002,APOE4
LPC 18:0(M+H)_6.75,LPC,n_value,22.4,0.7999999999999972,0.5,APOE2
LPC 18:0(M+H)_6.75,LPC,n_value,20.7,2.8000000000000007,4.699999999999999,APOE3
LPC 18:0(M+H)_6.75,LPC,n_value,17.200000000000003,1.1000000000000014,3.299999999999997,APOE4
LPC 18:3(M+H)_5.52,LPC,n_value,22.2,4.599999999999998,4.100000000000001,APOE2
LPC 18:3(M+H)_5.52,LPC,n_value,19.1,5.400000000000002,2.299999999999997,APOE3
LPC 18:3(M+H)_5.52,LPC,n_value,17.2,0.1999999999999993,0.1000000000000014,APOE4
LPC 19:0/0:0(M+H)_6.96,LPC,n_value,16.1,0.200000000000001,0.1999999999999993,APOE2
LPC 19:0/0:0(M+H)_6.96,LPC,n_value,19.35,1.3500000000000014,1.349999999999998,APOE3
LPC 20:0/0:0(M+H)_7.3,LPC,n_value,26.3,1.0,1.3999999999999986,APOE2
LPC 20:0/0:0(M+H)_7.3,LPC,n_value,24.2,3.099999999999998,2.8000000000000007,APOE3
LPC 20:0/0:0(M+H)_7.3,LPC,n_value,19.9,5.399999999999999,7.900000000000002,APOE4
LPC 20:5(M+H)_5.41,LPC,n_value,11.0,0.0,0.0,APOE2
LPC 22:0/0:0(M+H)_7.71,LPC,n_value,22.1,5.600000000000001,5.599999999999998,APOE2
LPC 22:0/0:0(M+H)_7.71,LPC,n_value,30.5,2.3000000000000007,2.299999999999997,APOE3
LPC 22:0/0:0(M+H)_7.71,LPC,n_value,34.45,4.950000000000003,4.949999999999996,APOE4
LPC 22:4(M+H)_6.42,LPC,n_value,10.35,0.25,0.25,APOE2
LPC 22:4(M+H)_6.42,LPC,n_value,10.75,0.25,0.25,APOE3
LPC 22:4(M+H)_6.42,LPC,n_value,11.6,0.0999999999999996,0.0999999999999996,APOE4
LPC 24:4(M+H)_6.5,LPC,n_value,13.4,1.8000000000000007,1.0999999999999996,APOE2
LPC 24:4(M+H)_6.5,LPC,n_value,17.8,2.5,1.6999999999999993,APOE3
LPC 24:4(M+H)_6.5,LPC,n_value,12.8,0.1000000000000014,1.6999999999999993,APOE4
LPC O-16:0(M+H)_6.62,EtherLPC,n_value,20.5,0.3999999999999986,0.6000000000000014,APOE2
LPC O-16:0(M+H)_6.62,EtherLPC,n_value,23.8,3.0,1.599999999999998,APOE3
